Unnamed: 0,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel,Cluster
342,630,toyota,passo,2005,47000,1000,at,2wd,rhd,gasoline,2
343,630,honda,fit,2010,82000,1300,at,2wd,rhd,gasoline,2
344,635,toyota,vitz,2007,71217,1000,at,2wd,rhd,gasoline,2
345,635,mazda,demio,2009,46454,1300,at,2wd,rhd,gasoline,2
346,635,suzuki,swift,2010,87800,1200,at,2wd,rhd,gasoline,2
347,635,volkswagen,golf,2007,58263,1600,at,2wd,rhd,gasoline,2
348,635,toyota,passo,2009,22749,1300,at,2wd,rhd,gasoline,2
349,635,honda,fit,2009,62291,1300,at,2wd,rhd,gasoline,2
350,635,toyota,raum,2009,63101,1500,at,2wd,rhd,gasoline,2
351,635,suzuki,swift,2009,38407,1200,at,2wd,rhd,gasoline,2
352,635,toyota,wish,2003,54358,1800,at,2wd,rhd,gasoline,2
353,635,volkswagen,golf,2007,34782,1600,at,2wd,rhd,gasoline,2
354,635,toyota,passo,2005,16890,1000,at,2wd,rhd,gasoline,2
355,635,nissan,ad expert,2007,225216,1800,at,2wd,rhd,gasoline,2
356,635,nissan,cube,2003,83848,1400,at,2wd,rhd,gasoline,2
357,639,nissan,march,2004,117176,1400,at,4wd,rhd,gasoline,2
358,640,honda,insight,2009,107914,1290,at,2wd,rhd,gasoline,2
359,643,toyota,vitz,2005,53427,1300,at,2wd,rhd,gasoline,2
360,649,toyota,ractis,2008,62756,1300,at,2wd,rhd,gasoline,2
361,650,honda,insight,2009,112764,1290,at,2wd,rhd,gasoline,2
362,650,honda,fit hybrid,2011,239644,1290,at,2wd,rhd,gasoline,2
363,650,honda,fit,2011,279232,1290,at,2wd,rhd,gasoline,2
364,650,honda,fit,2010,102400,1300,at,2wd,rhd,gasoline,2
365,650,honda,fit,2007,69000,1300,at,2wd,rhd,gasoline,2
366,650,nissan,note,2011,80900,1500,at,2wd,rhd,gasoline,2
367,650,honda,fit,2010,166224,1300,at,2wd,rhd,gasoline,2
368,650,nissan,tiida,2011,106000,1500,at,2wd,rhd,gasoline,2
369,650,toyota,vitz,2006,92250,1300,at,2wd,rhd,gasoline,2
370,650,suzuki,swift,2007,104500,1200,at,2wd,rhd,gasoline,2
371,650,toyota,passo,2011,40000,1000,at,2wd,rhd,gasoline,2
372,650,mazda,demio,2003,47000,1500,at,2wd,rhd,gasoline,2
